# Source: eCUT — electronic Corpus of Urartian Texts (ORACC), Urartian glossary
# URL: https://oracc.museum.upenn.edu/ecut/
# License: CC0 1.0 (Public Domain)
# Downloaded: 2026-03-26T08:52:56Z
# Script: pillar5/scripts/extract_glosses.py
word	translation	source	source_url
iniei	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
iniriaši	(a hypostasis of the god Ḫaldi or a deified attribute)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
inua	(goddess)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
inukahi	appertaining	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
inuki	this	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
inusi	such	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
iph-	destroy	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
iphari	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ipriu	a category of human beings	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ipšad-	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ipšuše	leadership?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ipt-	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ir-	(meaning unkwown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
irb-	loot	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
irdi	garrison	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
irdusi	garrison	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
iriduduni	(a building)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
irnutuhe	justice?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
iruid-	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
IR₃	servant	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
is-	regard?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
isiqi	(an object made of bronze)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
isiuše	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
iṣinaue	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
iša	that	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
išahini	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
išerhini	then	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
išiaṣi	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
išpilipri	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
išpui-	control?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
išpuiše	dominion?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
išqugulhi	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ištedi	I	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ištini	here	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ištinie	for	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
iu	when	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
izananini	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
izani	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
izid-	command	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ka-	advance	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
KAD	porter	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kai	in front of	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kamani	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kamnahi	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kamni	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kapi	(measurement unit for cereals)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kaquli	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kar-	defeat	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kaše	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
KA₂	gate	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kedan-	mobilize	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kiri	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kiri	cup	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kirinei	(a category of men or profession)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ku-	set up	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kubuše	helmet	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kui	indeed?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kuizi	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kul-	destroy	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kulm-	create wellbeing?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kulme	prosperity	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kulubš-	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kumemuše	weapon	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kuni	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kure	foot	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kuruhi	(a functionary title)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kuruni	back?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kuš-	create	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kušini	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
kuṭ-	come	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
KU₃	goldsmith	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
lak-	alter?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
limeie	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
liqiu	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
lulu	enemy country	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
luruq-	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
luruqud-	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
